ep_str,r_str,ep,r
Episode 380,Reward: 75.0,380,75
Episode 381,Reward: 150.0,381,150
Episode 382,Reward: 125.0,382,125
Episode 383,Reward: 200.0,383,200
Episode 384,Reward: 525.0,384,525
Episode 385,Reward: 150.0,385,150
Episode 386,Reward: 525.0,386,525
Episode 387,Reward: 425.0,387,425
Episode 388,Reward: 675.0,388,675
Episode 389,Reward: 500.0,389,500
Episode 390,Reward: 225.0,390,225
Episode 391,Reward: 525.0,391,525
Episode 392,Reward: 275.0,392,275
Episode 393,Reward: 200.0,393,200
