ep_str,r_str,ep,r
Episode 0,Reward: 50.0,0,50
Episode 1,Reward: 0.0,1,0
Episode 2,Reward: 50.0,2,50
Episode 3,Reward: 100.0,3,100
Episode 4,Reward: 200.0,4,200
Episode 5,Reward: 150.0,5,150
Episode 6,Reward: 175.0,6,175
Episode 7,Reward: 125.0,7,125
Episode 8,Reward: 575.0,8,575
Episode 9,Reward: 250.0,9,250
Episode 10,Reward: 550.0,10,550
Episode 11,Reward: 525.0,11,525
Episode 12,Reward: 200.0,12,200
Episode 13,Reward: 150.0,13,150
Episode 14,Reward: 450.0,14,450
Episode 15,Reward: 250.0,15,250
Episode 16,Reward: 250.0,16,250
Episode 17,Reward: 250.0,17,250
Episode 18,Reward: 175.0,18,175
Episode 19,Reward: 1050.0,19,1050
Episode 20,Reward: 475.0,20,475
Episode 21,Reward: 250.0,21,250
Episode 22,Reward: 725.0,22,725
Episode 23,Reward: 75.0,23,75
Episode 24,Reward: 525.0,24,525
Episode 25,Reward: 625.0,25,625
Episode 26,Reward: 500.0,26,500
Episode 27,Reward: 100.0,27,100
Episode 28,Reward: 75.0,28,75
Episode 29,Reward: 575.0,29,575
Episode 30,Reward: 100.0,30,100
Episode 31,Reward: 300.0,31,300
Episode 32,Reward: 200.0,32,200
Episode 33,Reward: 600.0,33,600
Episode 34,Reward: 600.0,34,600
Episode 35,Reward: 200.0,35,200
Episode 36,Reward: 75.0,36,75
Episode 37,Reward: 450.0,37,450
Episode 38,Reward: 0.0,38,0
Episode 39,Reward: 325.0,39,325
Episode 40,Reward: 150.0,40,150
Episode 41,Reward: 575.0,41,575
Episode 42,Reward: 175.0,42,175
Episode 43,Reward: 300.0,43,300
Episode 44,Reward: 550.0,44,550
Episode 45,Reward: 750.0,45,750
Episode 46,Reward: 575.0,46,575
Episode 47,Reward: 125.0,47,125
Episode 48,Reward: 200.0,48,200
Episode 49,Reward: 200.0,49,200
Episode 50,Reward: 575.0,50,575
Episode 51,Reward: 625.0,51,625
Episode 52,Reward: 300.0,52,300
Episode 53,Reward: 625.0,53,625
Episode 54,Reward: 550.0,54,550
Episode 55,Reward: 275.0,55,275
Episode 56,Reward: 200.0,56,200
Episode 57,Reward: 150.0,57,150
Episode 58,Reward: 550.0,58,550
Episode 59,Reward: 225.0,59,225
Episode 60,Reward: 625.0,60,625
Episode 61,Reward: 725.0,61,725
Episode 62,Reward: 650.0,62,650
Episode 63,Reward: 275.0,63,275
Episode 64,Reward: 275.0,64,275
Episode 65,Reward: 600.0,65,600
Episode 66,Reward: 625.0,66,625
Episode 67,Reward: 175.0,67,175
Episode 68,Reward: 125.0,68,125
Episode 69,Reward: 675.0,69,675
Episode 70,Reward: 600.0,70,600
Episode 71,Reward: 275.0,71,275
Episode 72,Reward: 650.0,72,650
Episode 73,Reward: 550.0,73,550
Episode 74,Reward: 650.0,74,650
Episode 75,Reward: 300.0,75,300
Episode 76,Reward: 600.0,76,600
Episode 77,Reward: 575.0,77,575
Episode 78,Reward: 325.0,78,325
Episode 79,Reward: 275.0,79,275
Episode 80,Reward: 325.0,80,325
Episode 81,Reward: 600.0,81,600
Episode 82,Reward: 550.0,82,550
Episode 83,Reward: 500.0,83,500
Episode 84,Reward: 700.0,84,700
Episode 85,Reward: 400.0,85,400
Episode 86,Reward: 625.0,86,625
Episode 87,Reward: 325.0,87,325
Episode 88,Reward: 275.0,88,275
Episode 89,Reward: 200.0,89,200
Episode 90,Reward: 325.0,90,325
Episode 91,Reward: 375.0,91,375
Episode 92,Reward: 325.0,92,325
Episode 93,Reward: 450.0,93,450
Episode 94,Reward: 675.0,94,675
Episode 95,Reward: 500.0,95,500
Episode 96,Reward: 250.0,96,250
Episode 97,Reward: 550.0,97,550
Episode 98,Reward: 225.0,98,225
Episode 99,Reward: 600.0,99,600
Episode 100,Reward: 375.0,100,375
Episode 101,Reward: 225.0,101,225
Episode 102,Reward: 225.0,102,225
Episode 103,Reward: 100.0,103,100
Episode 104,Reward: 500.0,104,500
Episode 105,Reward: 200.0,105,200
Episode 106,Reward: 525.0,106,525
Episode 107,Reward: 250.0,107,250
Episode 108,Reward: 500.0,108,500
Episode 109,Reward: 175.0,109,175
Episode 110,Reward: 475.0,110,475
Episode 111,Reward: 200.0,111,200
Episode 112,Reward: 550.0,112,550
Episode 113,Reward: 500.0,113,500
Episode 114,Reward: 450.0,114,450
Episode 115,Reward: 100.0,115,100
Episode 116,Reward: 550.0,116,550
Episode 117,Reward: 450.0,117,450
Episode 118,Reward: 225.0,118,225
Episode 119,Reward: 275.0,119,275
Episode 120,Reward: 550.0,120,550
Episode 121,Reward: 375.0,121,375
Episode 122,Reward: 875.0,122,875
Episode 123,Reward: 925.0,123,925
Episode 124,Reward: 275.0,124,275
Episode 125,Reward: 600.0,125,600
Episode 126,Reward: 100.0,126,100
Episode 127,Reward: 150.0,127,150
Episode 128,Reward: 1675.0,128,1675
Episode 129,Reward: 225.0,129,225
Episode 130,Reward: 275.0,130,275
Episode 131,Reward: 150.0,131,150
Episode 132,Reward: 275.0,132,275
Episode 133,Reward: 650.0,133,650
Episode 134,Reward: 525.0,134,525
Episode 135,Reward: 200.0,135,200
Episode 136,Reward: 600.0,136,600
Episode 137,Reward: 525.0,137,525
Episode 138,Reward: 375.0,138,375
Episode 139,Reward: 200.0,139,200
Episode 140,Reward: 550.0,140,550
Episode 141,Reward: 350.0,141,350
Episode 142,Reward: 475.0,142,475
Episode 143,Reward: 525.0,143,525
Episode 144,Reward: 600.0,144,600
Episode 145,Reward: 525.0,145,525
Episode 146,Reward: 600.0,146,600
Episode 147,Reward: 375.0,147,375
Episode 148,Reward: 200.0,148,200
Episode 149,Reward: 600.0,149,600
Episode 150,Reward: 200.0,150,200
Episode 151,Reward: 500.0,151,500
Episode 152,Reward: 175.0,152,175
Episode 153,Reward: 350.0,153,350
Episode 154,Reward: 425.0,154,425
Episode 155,Reward: 300.0,155,300
Episode 156,Reward: 525.0,156,525
Episode 157,Reward: 500.0,157,500
Episode 158,Reward: 475.0,158,475
Episode 159,Reward: 550.0,159,550
Episode 160,Reward: 600.0,160,600
Episode 161,Reward: 400.0,161,400
Episode 162,Reward: 175.0,162,175
Episode 163,Reward: 625.0,163,625
Episode 164,Reward: 400.0,164,400
Episode 165,Reward: 0.0,165,0
Episode 166,Reward: 350.0,166,350
